L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
IND67,IND115,India,Bihar,174375.49069231076,1.0,Member State,IND,ND,2012
IND68,IND115,India,Chandigarh,7253.563694239352,1.0,Member State,IND,ND,2012
IND69,IND115,India,Chhattisgarh,105645.67915420131,1.0,Member State,IND,ND,2012
IND70,IND115,India,Dadra and Nagar Haveli,1988.612495625887,1.0,Member State,IND,ND,2012
IND71,IND115,India,Daman and Diu,585.3640273958563,1.0,Member State,IND,ND,2012
IND72,IND115,India,Delhi,219386.0102645937,1.0,Member State,IND,ND,2012
IND73,IND115,India,Goa,22518.56943608348,1.0,Member State,IND,ND,2012
IND74,IND115,India,Gujarat,387625.2173397909,1.0,Member State,IND,ND,2012
IND75,IND115,India,Haryana,209118.71925245444,1.0,Member State,IND,ND,2012
IND76,IND115,India,Himachal Pradesh,44446.435812221025,1.0,Member State,IND,ND,2012
IND77,IND115,India,Jammu and Kashmir,49012.716165111786,1.0,Sovereignty unsettled,IND,ND,2012
IND78,IND115,India,Jharkhand,105474.94093899951,1.0,Member State,IND,ND,2012
IND79,IND115,India,Karnataka,412774.0794257655,1.0,Member State,IND,ND,2012
IND80,IND115,India,Kerala,224369.81549124545,1.0,Member State,IND,ND,2012
IND81,IND115,India,Lakshadweep,0.0,,Member State,IND,ND,
IND82,IND115,India,Madhya Pradesh,211751.04016805097,1.0,Member State,IND,ND,2012
IND83,IND115,India,Maharashtra,781565.3043697369,1.0,Member State,IND,ND,2012
IND84,IND115,India,Manipur,8775.627953498546,1.0,Member State,IND,ND,2012
IND85,IND115,India,Meghalaya,15060.042489459269,1.0,Member State,IND,ND,2012
IND86,IND115,India,Mizoram,4801.568940650814,1.0,Member State,IND,ND,2012
IND87,IND115,India,Nagaland,7844.922606975514,1.0,Member State,IND,ND,2012
IND88,IND115,India,Odisha,151370.39657546798,1.0,Member State,IND,ND,2012
IND89,IND115,India,Puducherry,4897.409738153305,1.0,Member State,IND,ND,2012
IND90,IND115,India,Punjab,180386.1465928909,1.0,Member State,IND,ND,2012
IND91,IND115,India,Rajasthan,296960.4442617958,1.0,Member State,IND,ND,2012
IND92,IND115,India,Sikkim,6466.074253573534,1.0,Member State,IND,ND,2012
IND93,IND115,India,Tamil Nadu,483447.0875407832,1.0,Member State,IND,ND,2012
IND94,IND115,India,Telangana,240622.6034777901,1.0,Member State,IND,ND,2012
IND95,IND115,India,Tripura,13707.733089143672,1.0,Member State,IND,ND,2012
IND96,IND115,India,Uttar Pradesh,502413.42578059743,1.0,Member State,IND,ND,2012
IND97,IND115,India,Uttarakhand,73519.17641532022,1.0,Member State,IND,ND,2012
IND98,IND115,India,West Bengal,346980.9492408465,1.0,Member State,IND,ND,2012
LKA100,LKA231,Sri Lanka,Eastern,10278.855084441886,1.0,Member State,LKA,ND,2012
LKA101,LKA231,Sri Lanka,North Central,10971.732001189836,1.0,Member State,LKA,ND,2012
LKA102,LKA231,Sri Lanka,North Western,21029.693081153335,1.0,Member State,LKA,ND,2012
LKA103,LKA231,Sri Lanka,Northern,5654.020013688065,1.0,Member State,LKA,ND,2012
LKA104,LKA231,Sri Lanka,Sabaragamuwa,15802.085332479459,1.0,Member State,LKA,ND,2012
LKA105,LKA231,Sri Lanka,Southern,18595.3877692717,1.0,Member State,LKA,ND,2012
LKA106,LKA231,Sri Lanka,Uva,11025.647495132784,1.0,Member State,LKA,ND,2012
LKA107,LKA231,Sri Lanka,Western,76409.25500822916,1.0,Member State,LKA,ND,2012
LKA99,LKA231,Sri Lanka,Central,22625.762262852633,1.0,Member State,LKA,ND,2012
MDV108,MDV154,Maldives,Alifu Alifu,0.20237875815638723,1.0,Member State,MDV,ND,2012
MDV109,MDV154,Maldives,Alifu Dhaalu,0.0,,Member State,MDV,ND,
MDV110,MDV154,Maldives,Baa,0.0011316520813034413,1.0,Member State,MDV,ND,2012
MDV111,MDV154,Maldives,Dhaalu,0.0,,Member State,MDV,ND,
MDV112,MDV154,Maldives,Faafu,0.11197721582999144,1.0,Member State,MDV,ND,2012
MDV113,MDV154,Maldives,Gaafu Alifu,0.029664825831700787,1.0,Member State,MDV,ND,2012
MDV114,MDV154,Maldives,Gaafu Dhaalu,0.427416325847695,1.0,Member State,MDV,ND,2012
MDV115,MDV154,Maldives,Haa Alifu,0.2181087020573995,1.0,Member State,MDV,ND,2012
MDV116,MDV154,Maldives,Haa Dhaalu,0.5117009104160813,1.0,Member State,MDV,ND,2012
MDV117,MDV154,Maldives,Kaafu,3.7903662294091833,1.0,Member State,MDV,ND,2012
MDV118,MDV154,Maldives,Laamu,2.2501328538991165,1.0,Member State,MDV,ND,2012
MDV119,MDV154,Maldives,Lhaviyani,0.0,,Member State,MDV,ND,
MDV120,MDV154,Maldives,Male',1.4285149827951737,1.0,Member State,MDV,ND,2012
MDV121,MDV154,Maldives,Meemu,0.10814112517573829,1.0,Member State,MDV,ND,2012
MDV122,MDV154,Maldives,Noonu,0.0,,Member State,MDV,ND,
MDV123,MDV154,Maldives,Raa,0.03467657352341835,1.0,Member State,MDV,ND,2012
MDV124,MDV154,Maldives,Seenu,10.209748400796682,1.0,Member State,MDV,ND,2012
MDV125,MDV154,Maldives,Shaviyani,0.0,,Member State,MDV,ND,
MDV126,MDV154,Maldives,Thaa,0.06155713533621089,1.0,Member State,MDV,ND,2012
MDV127,MDV154,Maldives,Vaavu,0.0,,Member State,MDV,ND,
NPL128,NPL175,Nepal,Five,10508.825211956853,1.0,Member State,NPL,ND,2012
NPL129,NPL175,Nepal,Four,6194.922405876143,1.0,Member State,NPL,ND,2012
NPL130,NPL175,Nepal,One,12744.661266829793,1.0,Member State,NPL,ND,2012
NPL131,NPL175,Nepal,Seven,5072.782320467029,1.0,Member State,NPL,ND,2012
NPL132,NPL175,Nepal,Six,3287.839847743734,1.0,Member State,NPL,ND,2012
NPL133,NPL175,Nepal,Three,21578.623944294188,1.0,Member State,NPL,ND,2012
NPL134,NPL175,Nepal,Two,16454.165498165366,1.0,Member State,NPL,ND,2012
PAK135,PAK188,Pakistan,Azad Jammu and Kashmir,12733.87774891889,1.0,Sovereignty unsettled,PAK,ND,2012
PAK136,PAK188,Pakistan,Gilgit Baltistan,3885.0032692213967,1.0,Sovereignty unsettled,PAK,ND,2012
PAK137,PAK188,Pakistan,Balochistan,18481.16904651385,1.0,Member State,PAK,ND,2012
PAK138,PAK188,Pakistan,Khyber Pakhtunkhwa,122664.39296656582,1.0,Member State,PAK,ND,2012
PAK139,PAK188,Pakistan,Federal Capital Territory,9197.872211759448,1.0,Member State,PAK,ND,2012
PAK140,PAK188,Pakistan,Punjab,436220.7637938549,1.0,Member State,PAK,ND,2012
PAK141,PAK188,Pakistan,Sindh,215455.64870293505,1.0,Member State,PAK,ND,2012
