L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG19,AFG1,Afghanistan,AFG1,Badakhshan,Shighnan,103.65100213330815,2.0,Member State,AFG,ND,2022
AFG190,AFG1,Afghanistan,AFG14,Kabul,Surobi,102.64695853624004,2.0,Member State,AFG,ND,2022
AFG191,AFG1,Afghanistan,AFG15,Kandahar,Arghandab,323.0744240609627,2.0,Member State,AFG,ND,2022
AFG192,AFG1,Afghanistan,AFG15,Kandahar,Arghistan,50.25348547906098,2.0,Member State,AFG,ND,2022
AFG193,AFG1,Afghanistan,AFG15,Kandahar,Daman,511.716607142306,2.0,Member State,AFG,ND,2022
AFG194,AFG1,Afghanistan,AFG15,Kandahar,Ghorak,15.349348961337334,2.0,Member State,AFG,ND,2022
AFG195,AFG1,Afghanistan,AFG15,Kandahar,Kandahar,2545.3289151760428,2.0,Member State,AFG,ND,2022
AFG196,AFG1,Afghanistan,AFG15,Kandahar,Khakrez,39.27905265245663,2.0,Member State,AFG,ND,2022
AFG197,AFG1,Afghanistan,AFG15,Kandahar,Maruf,51.481069289542816,2.0,Member State,AFG,ND,2022
AFG198,AFG1,Afghanistan,AFG15,Kandahar,Maywand,111.88537444992767,2.0,Member State,AFG,ND,2022
AFG199,AFG1,Afghanistan,AFG15,Kandahar,Miyanshin,28.52993856539096,2.0,Member State,AFG,ND,2022
AFG2,AFG1,Afghanistan,AFG1,Badakhshan,Argo,181.29928198115906,2.0,Member State,AFG,ND,2022
AFG20,AFG1,Afghanistan,AFG1,Badakhshan,Shuhada,67.01348891975478,2.0,Member State,AFG,ND,2022
AFG200,AFG1,Afghanistan,AFG15,Kandahar,Nesh,23.3095159977191,2.0,Member State,AFG,ND,2022
AFG201,AFG1,Afghanistan,AFG15,Kandahar,Panj wayi,175.59630541176932,2.0,Member State,AFG,ND,2022
AFG202,AFG1,Afghanistan,AFG15,Kandahar,Reg,16.90723076438023,2.0,Member State,AFG,ND,2022
AFG203,AFG1,Afghanistan,AFG15,Kandahar,Shah Wali Kot,71.58521710672417,2.0,Member State,AFG,ND,2022
AFG204,AFG1,Afghanistan,AFG15,Kandahar,Shor Abak,17.617349014922006,2.0,Member State,AFG,ND,2022
AFG205,AFG1,Afghanistan,AFG15,Kandahar,Spin Boldak,121.51257383977283,2.0,Member State,AFG,ND,2022
AFG206,AFG1,Afghanistan,AFG15,Kandahar,Zheray,90.80525615213418,2.0,Member State,AFG,ND,2022
